Z,EPICS_SHELL,H0[mc]
70,1,1.493692375
70,3,5.316996936
70,5,2.603683982
70,6,2.850348759
70,8,11.77139291
70,10,6.920318249
70,11,7.331426135
70,13,4.768852731
70,14,4.864777882
70,16,25.07758849
70,18,15.8961757
70,19,16.85542829
70,21,13.07323432
70,22,13.34730589
70,24,13.97767143
70,25,14.38878032
70,27,68.6550354
70,29,46.86631365
70,30,51.11442762
70,41,265.8498374
71,1,1.466285245
71,3,5.221071549
71,5,2.562573068
71,6,2.809237961
71,8,11.53843064
71,10,6.783282018
71,11,7.208093258
71,13,4.686631332
71,14,4.782556606
71,16,24.52944318
71,18,15.48506728
71,19,16.44432049
71,21,12.75805145
71,22,13.03212364
71,24,13.0595303
71,25,13.2513808
71,27,65.77727924
71,29,44.81077206
71,30,48.51074202
71,33,67.01060352
71,41,242.5537192
72,1,1.438878022
72,3,5.125146235
72,5,2.507758831
72,6,2.754423482
72,8,11.31917351
72,10,6.659949876
72,11,7.084761135
72,13,4.604409625
72,14,4.700334885
72,16,23.98129996
72,18,15.0739601
72,19,16.17024716
72,21,12.44286863
72,22,12.7032372
72,24,12.30583276
72,25,12.42916539
72,27,63.17359532
72,29,43.02930341
72,30,46.31816693
72,32,57.96622761
72,33,57.96622761
72,41,230.2204777
73,1,1.411470768
73,3,5.029221287
73,5,2.466648036
73,6,2.713312894
73,8,11.11361972
73,10,6.522913672
73,11,6.961428923
73,13,4.522188049
73,14,4.618113361
73,16,23.43315637
73,18,14.79988719
73,19,15.75913912
73,21,12.12768625
73,22,12.40175827
73,24,11.68917101
73,25,11.7576884
73,27,60.70694753
73,29,41.38487013
73,30,44.39966207
73,32,52.34775167
73,33,52.34775167
73,41,220.6279587
74,1,1.384063529
74,3,4.946999634
74,5,2.425537279
74,6,2.672202018
74,8,10.90806538
74,10,6.399581249
74,11,6.838096192
74,13,4.439966176
74,14,4.535891554
74,16,22.88501108
74,18,14.38878032
74,19,15.48506728
74,21,11.82620649
74,22,12.10027837
74,24,11.14102631
74,25,11.19584087
74,27,58.51437136
74,29,39.8774762
74,30,42.6181943
74,32,48.23667184
74,33,48.23667184
74,41,212.4057984
75,1,1.366248904
75,3,4.851074168
75,5,2.370722731
75,6,2.631091182
75,8,10.70251177
75,10,6.276248682
75,11,6.728467852
75,13,4.357744724
75,14,4.453669924
75,16,22.33686736
75,18,14.11470778
75,19,15.0739601
75,21,11.53843064
75,22,11.81250314
75,24,10.64769736
75,25,10.71621547
75,27,56.4588316
75,29,38.23304364
75,30,41.1107999
75,32,44.81077206
75,33,47.41445587
75,41,204.1836386
76,1,1.342952782
76,3,4.768852731
76,5,2.329612066
76,6,2.589980271
76,8,10.51066082
76,10,6.166619892
76,11,6.605134878
76,13,4.275523104
76,14,4.385151866
76,16,21.92575906
76,18,13.84063538
76,19,14.79988719
76,21,11.26435886
76,22,11.53843064
76,24,10.19547871
76,25,10.29140374
76,27,54.40329154
76,29,36.7256477
76,30,39.74043799
76,32,42.07005304
76,33,44.39966207
76,41,197.331838
77,1,1.31828633
77,3,4.686631332
77,5,2.288501092
77,6,2.562573068
77,8,10.31881119
77,10,6.056991098
77,11,6.509209748
77,13,4.207005274
77,14,4.302930311
77,16,21.37761525
77,18,13.51174974
77,19,14.52581568
77,21,11.00399026
77,22,11.26435886
77,24,9.811777584
77,25,9.907703227
77,27,52.62182346
77,29,35.35528755
77,30,38.50711611
77,32,39.8774762
77,33,41.93301476
77,41,191.8503994
78,1,1.296360546
78,3,4.604409625
78,5,2.247390484
78,6,2.521462419
78,8,10.14066379
78,10,5.947362585
78,11,6.399581249
78,13,4.138486984
78,14,4.234412351
78,16,20.96650697
78,18,13.21027001
